recipe_tag	coefficient
bias	0.3173044487195925
alfredo	0.0707690384562078
almond	0.2757652908457547
american	0.0158803806457214
appetizer	0.014159238076857233
appetizers	0.025855137666577516
apple	-0.03688035241517826
asiancuisine	-0.038764028063928875
asparagus	-0.03238661211675872
avocado	0.014487006491021436
bacon	0.019714900913884517
baked	0.025210466044909664
bakeddishes	-0.05137849062573487
bakery	0.001921566245184064
baking	-0.02080505062545132
beans	0.019134319457005444
beef	0.009251475589266624
bellpeppers	-0.006674259154670666
berries	-0.0429821718258753
blackbeans	-0.006674259154670666
blackvinegar	-0.02487236388525565
blueberry	-0.005691683740895126
boiledeggs	0.004628531602932559
bokchoy	0.004628531602932559
braided	-0.029076246876913642
bread	-0.004422412241057355
breaded	0.04825297825459198
breakfast	-0.01161796971882173
breakfastpastry	0.020034209336142722
brioche	-0.03733937839518667
broiling	0.027259730568115977
brownies	-0.015532400291019986
brownsugar	-0.01634427107802384
brunch	0.0014771762015849468
burger	-0.01599809197604229
burritos	0.03688287762706631
buttery	0.08398163185031104
cake	0.0009856724618899325
carrots	0.004628531602932559
casserole	-0.022982772538825632
celebration	-0.013087977871579155
cheese	-0.014310865126486182
cheesy	-0.018562672889100504
cherry	-0.0196291353075565
chicken	0.2035961764096772
chickpeas	-0.01599809197604229
chilioil	0.03629362274769196
chilipowder	-0.006674259154670666
chinese	0.021096445913690514
chinesecookingwine	0.06116598663294761
chinesecuisine	-0.03781313078414262
chocolate	-0.24053794079472887
chocolatechip	0.162331287922464
chocolatecroissant	0.020034209336142722
christmas	0.00528579561852305
cilantro	0.06476985406468667
cinnamon	0.052919022866694546
citrus	0.016435475865157072
classic	0.00401497539878469
cloves	-0.006047844449782662
cobbler	0.08144996181782976
cocoapowder	-0.015860957778316597
coffee	-0.03417579499625283
cold	0.021096445913690514
coldnoodles	0.029236822625181486
comfortfood	0.06739145803735863
condiment	0.025265715641430937
cookies	0.06255421589550199
corn	-0.013087977871579155
cranberry	0.012187943039953866
creamcheese	-0.023750528823620876
creamy	0.04833358707104656
crisp	-0.016484045853803808
crispy	0.18203845518003073
croissant	-0.03417579499625283
croissants	-0.06340375402850422
crumble	-0.0053795390486906305
crust	-0.006047844449782662
cucumber	0.029236822625181486
cumin	-0.006674259154670666
cupcakes	-0.06672940598623284
custard	-0.05007146842133528
custardy	0.08627113040653701
customizable	-0.023598295021932243
danish	-0.023750528823620876
dashibroth	0.01630512433637538
dates	-0.02943162521419183
decadent	0.01916352431618704
dessert	0.0405185193196739
dinner	0.05321321347160071
dip	-0.011272962009677362
donuts	0.026176779744810648
easterneuropean	-0.029076246876913642
easy	0.08774335336781422
easydinner	-0.018763123137222195
egg	0.018378158615395452
eggs	0.0067526051546257515
eggwhites	0.0008620763741024066
fajitaseasoning	-0.03331531889463594
fall	-0.007586089465940935
familyfriendly	-0.04174589567604783
fastfood	0.04825297825459198
fetacheese	-0.017557981594433565
filling	-0.05665621195686854
fingerfood	0.06265443707607482
flaky	0.1695655735008703
french	0.0216748885499985
frenchcuisine	-0.01285692461205764
frenchpastry	-0.012220019414926047
fresh	0.050296108589996835
fried	0.09493837038561789
friedfood	-0.04055927773676441
friedrice	-0.0330579169349363
fries	-0.04192775665947908
frosting	-0.0657437335243429
fruit	0.023059667644970833
fudgy	0.04823977119310068
gamedayfood	0.0080267380629776
ganache	0.01684663024020653
garlic	0.04774038307759845
ginger	0.06116598663294761
glutenfree	-0.05465546967231362
goldenbrown	-0.042394172240371744
greenbeans	0.03270522904501634
greenonion	-0.013425603555349155
greenonions	0.041511409229998866
grill	-0.01599809197604229
grilled	0.022315255292761627
